open,high,low,close,volume
98.4304,99.2910,98.0079,98.6004,21420
97.9874,98.8510,97.5491,97.8508,3467
97.7112,98.0290,97.3100,97.4458,11567
97.8095,98.7787,97.2448,98.2278,74583
99.3919,100.1275,98.8733,99.6731,57810
100.0673,100.6962,99.0426,99.8388,58787
99.4927,100.4063,98.1977,99.1631,25956
97.7384,98.9115,96.7549,98.0229,52201
99.1122,99.5462,98.8807,99.2636,48944
99.4236,99.9896,97.9913,98.9315,56118
98.7813,99.5569,97.5956,98.3592,44627
97.7264,98.0768,96.7481,97.9076,12383
98.4195,99.6110,97.7528,98.6664,22630
98.0430,98.4770,97.6711,97.7564,77243
99.6089,99.7276,98.8762,99.1100,23800
99.5420,99.7645,99.2500,99.4190,56771
100.2346,100.7418,99.6799,100.2564,24938
101.9388,102.4995,101.4393,101.5346,88369
102.4098,102.5454,101.4413,102.0616,51971
101.9407,102.2422,100.8357,101.6238,90319
100.5778,101.4789,100.1483,100.3385,97334
99.5260,100.1222,98.8789,99.2328,96257
97.8442,98.6516,97.1993,98.2113,69084
98.8288,99.4207,98.5150,98.7578,66957
99.0997,99.6141,98.0711,98.6812,54335
97.7333,98.0889,96.9384,97.2691,75470
96.4451,97.0343,96.2861,96.5427,59667
96.2269,96.8224,96.1661,96.4365,64773
95.7009,96.7578,94.9125,95.9807,86648
95.8459,96.3114,95.7891,95.8753,71633
94.7135,95.3455,94.0655,94.6822,14987
93.8405,93.9459,93.1680,93.6944,97711
95.0515,95.4307,94.4181,94.7673,94373
96.4965,96.7300,95.8251,96.1827,87578
97.5215,97.6163,96.6610,97.3158,49919
98.3154,99.6604,97.9193,98.6956,18475
99.2286,99.9381,98.9184,99.2303,12397
100.2583,101.0387,99.3039,100.2774,1716
101.3039,102.0954,100.8745,100.9918,16966
101.2848,102.6707,100.3167,101.6957,45233
103.0903,103.2428,101.8000,102.7444,50569
103.5887,104.2091,102.5730,103.1844,30733
103.8648,104.8739,103.3601,104.0752,60382
105.1703,105.3973,104.4953,105.3166,31511
103.9936,104.2007,103.1142,104.0804,53518
